Name,Taxon_ID,Accession_Number,Length
Microvirga vignae,1225564,WP_084731528.1,196
Photobacterium swingsii,680026,WP_084711697.1,244
Rhizobium nepotum,1035271,WP_084686515.1,171
Methylomicrobium agile,39774,WP_084675296.1,192
Bradyrhizobium sp. WSM2793,1038866,WP_084674999.1,204
Bradyrhizobium sp. WSM2793,1038866,WP_084674802.1,121
Chitinimonas taiwanensis,240412,WP_084658147.1,204
Mesorhizobium sp. WSM1293,1040984,WP_084652807.1,201
Bosea sp. BIWAKO-01,506668,WP_084651714.1,212
Mesorhizobium,68287,WP_084647033.1,159
Oceanobacter kriegii,64972,WP_084645036.1,235
Ferrimonas futtsuensis,364764,WP_084643699.1,251
Paludibacterium yongneupense,400061,WP_084637736.1,233
Paludibacterium yongneupense,400061,WP_084637548.1,209
Mesorhizobium sp. WSM3626,1040987,WP_084636440.1,202
Maritalea myrionectae,454601,WP_084634184.1,306
Ferrimonas senticii,394566,WP_084631264.1,240
Neptunomonas japonica,417574,WP_084629131.1,248
Devosia chinhatensis,429727,WP_084620119.1,191
Cellvibrio sp. OA-2007,529823,WP_084618054.1,224
Sulfurospirillum multivorans,66821,WP_084613078.1,211
Ferriphaselus amnicola,1188319,WP_084612075.1,238
Sulfurospirillum arcachonense,57666,WP_084607355.1,220
Lyngbya confervoides,207921,WP_084606707.1,220
Rhizobium sullae,50338,WP_084606538.1,65
Psychromonas aquimarina,444919,WP_084605603.1,236
Hoeflea phototrophica,244596,WP_084594664.1,213
Gilvimarinus agarilyticus,679259,WP_084591689.1,183
Erythrobacter vulgaris,291985,WP_084573262.1,334
Methylosinus sp. PW1,107636,WP_084570806.1,227
Pseudoxanthobacter soli,433840,WP_084564226.1,175
Pseudomonas putida,303,ORL60429.1,230
Pseudomonas putida,303,ORL60172.1,230
Desulfopila aestuarii,231440,WP_084553260.1,233
Pseudomonas aeruginosa,287,ORL56272.1,237
Pseudomonas putida,303,ORL47842.1,230
Halomonas cupida,44933,WP_084542086.1,232
Kaistia soli,446684,WP_084527190.1,174
Desulfovibrio cuneatus,159728,WP_084515914.1,277
Geminicoccus roseus,404900,WP_084506867.1,233
Ochrobactrum,528,WP_084486922.1,183
Methylosinus sp. LW3,107635,WP_084484839.1,227
Methylosarcina lacus,136992,WP_084480098.1,232
Ochrobactrum pseudogrignonense,419475,WP_084479895.1,183
Desulfobulbus mediterraneus,160661,WP_084457154.1,261
Rhodobacteraceae,31989,WP_084450963.1,210
Rhizobium multihospitium,410764,WP_092715259.1,201
Rhizobium multihospitium,410764,WP_092714758.1,199
Rhizobium multihospitium,410764,WP_092712918.1,314
Rhizobium sp. NFR12,1566261,WP_092664090.1,179
Rhizobium sp. NFR12,1566261,WP_092662577.1,188
Rhizobium sp. NFR12,1566261,WP_092660077.1,184
Jannaschia faecimaris,1244108,WP_092646319.1,251
unclassified Rhizobiales (miscellaneous),41292,WP_092642782.1,214
Roseospirillum parvum,83401,WP_092614034.1,220
Rhizobium loessense,158890,WP_092588591.1,199
Rhizobium loessense,158890,WP_092583970.1,199
Rhizobium lusitanum,293958,WP_092575029.1,223
Aidingimonas halophila,574349,WP_092569397.1,235
Halomonas taeanensis,284577,WP_092523609.1,234
Afipia sp. GAS231,1882747,WP_092512041.1,272
Afipia sp. GAS231,1882747,WP_092508799.1,209
bacterium A52C2,1855383,WP_092495557.1,202
Pseudomonas sagittaria,1135990,WP_092431076.1,231
Devosia crocina,429728,WP_092422222.1,207
Pseudomonas,286,WP_092409948.1,218
Pseudomonas,286,WP_092403313.1,230
Pseudomonas saponiphila,556534,WP_092318350.1,230
Pseudomonas sp. NFIX28,1566235,WP_092305472.1,229
Pseudomonas sp. NFIX28,1566235,WP_092303220.1,235
Bradyrhizobium sp. Ghvi,1855319,WP_092301039.1,209
Bradyrhizobium sp. Ghvi,1855319,WP_092293979.1,218
Bradyrhizobium sp. Ghvi,1855319,WP_092293175.1,205
Bradyrhizobium sp. Ghvi,1855319,WP_092288992.1,243
Pseudomonas,286,WP_092275346.1,230
Bradyrhizobium sp. Rc3b,1855322,WP_092261969.1,204
Bradyrhizobium sp. Rc3b,1855322,WP_092261651.1,188
Bradyrhizobium sp. Rc3b,1855322,WP_092261650.1,121
Bradyrhizobium sp. Rc3b,1855322,WP_092259230.1,217
Bradyrhizobium sp. Rc3b,1855322,WP_092254194.1,243
Bradyrhizobium sp. Gha,1855318,WP_092239990.1,188
Bradyrhizobium sp. Gha,1855318,WP_092239264.1,243
Bradyrhizobium sp. Gha,1855318,WP_092228591.1,218
Bradyrhizobium sp. Gha,1855318,WP_092227811.1,205
Desulforhopalus singaporensis,91360,WP_092226226.1,215
Desulforhopalus singaporensis,91360,WP_092225122.1,218
Bradyrhizobium arachidis,858423,WP_092219714.1,243
Bradyrhizobium arachidis,858423,WP_092218162.1,175
Bradyrhizobium arachidis,858423,WP_092217555.1,203
Bradyrhizobium arachidis,858423,WP_092217332.1,244
Desulfoluna spongiiphila,419481,WP_092214633.1,224
Pseudomonas,286,WP_092204950.1,230
Bradyrhizobium sp. cf659,1761771,WP_092192576.1,338
Bradyrhizobium sp. cf659,1761771,WP_092191488.1,217
Bradyrhizobium sp. cf659,1761771,WP_092187830.1,212
Bradyrhizobium sp. cf659,1761771,WP_092187262.1,243
Rhizobiales bacterium,1909294,WP_113546550.1,199
Rhizobiales bacterium,1909294,WP_113544223.1,199
Rhizobiales bacterium,1909294,WP_113544001.1,197
Rhizobiales bacterium,1909294,WP_113538905.1,206
Rhizobiales bacterium,1909294,WP_113537740.1,202
Rhizobiales bacterium,1909294,WP_113537281.1,259
Rhizobiales bacterium,1909294,WP_113534811.1,183
Rhizobiales bacterium,1909294,WP_113531234.1,202
Rhizobiales bacterium,1909294,WP_113530679.1,207
Pseudomonas aeruginosa,287,AXC23086.1,237
Rhizobiales bacterium,1909294,WP_113524714.1,195
Rhizobiales bacterium,1909294,WP_113524418.1,327
Rhizobiales bacterium,1909294,WP_113520963.1,190
Rhizobiales bacterium,1909294,WP_113520494.1,199
Rhizobiales bacterium,1909294,WP_113517963.1,212
Rhizobiales bacterium,1909294,WP_113514223.1,207
Rhizobiales bacterium,1909294,WP_113511228.1,259
Rhizobiales bacterium,1909294,WP_113503780.1,201
Rhizobiales bacterium,1909294,WP_113502460.1,224
Rhizobiales bacterium,1909294,WP_113497916.1,198
Rhizobiales bacterium,1909294,WP_113492848.1,203
Rhizobiales bacterium,1909294,WP_113491249.1,204
Rhizobiales bacterium,1909294,WP_113488462.1,203
Rhizobiales bacterium,1909294,WP_113487679.1,187
Rhizobiales bacterium,1909294,WP_113485927.1,203
Rhizobiales bacterium,1909294,WP_113485650.1,183
Rhizobiales bacterium,1909294,WP_113485519.1,206
Rhizobiales bacterium,1909294,WP_113483400.1,206
Rhizobiales bacterium,1909294,WP_113481101.1,222
Rhizobiales bacterium,1909294,WP_113480563.1,203
Rhizobiales bacterium,1909294,WP_113478548.1,259
Rhizobiales bacterium,1909294,WP_113474926.1,202
Rhizobiales bacterium,1909294,WP_113474330.1,206
Rhizobiales bacterium,1909294,WP_113471603.1,318
Rhizobiales bacterium,1909294,WP_113470437.1,201
Rhizobiales bacterium,1909294,WP_113469548.1,169
Rhizobiales bacterium,1909294,WP_113467273.1,187
Rhizobiales bacterium,1909294,WP_113463977.1,206
Rhizobiales bacterium,1909294,WP_113463428.1,202
Rhizobiales bacterium,1909294,WP_113461247.1,202
Rhizobiales bacterium,1909294,WP_113460317.1,205
Rhizobiales bacterium,1909294,WP_113459958.1,318
Rhizobiales bacterium,1909294,WP_113457623.1,191
Rhizobiales bacterium,1909294,WP_113457284.1,187
Rhizobiales bacterium,1909294,WP_113457274.1,203
Rhizobiales bacterium,1909294,WP_113448748.1,189
Rhizobiales bacterium,1909294,WP_113448426.1,203
Rhizobiales bacterium,1909294,WP_113448411.1,187
Rhizobiales bacterium,1909294,WP_113442851.1,187
Rhizobiales bacterium,1909294,WP_113439039.1,203
Sphingobium sp. SCG-1,2072936,WP_104954772.1,223
Chromobacterium vaccinii,1108595,WP_104945712.1,247
Pseudomonas frederiksbergensis,104087,PQP06632.1,234
Pseudomonas frederiksbergensis,104087,PQO95657.1,230
Devosia,46913,WP_104894064.1,201
Devosia,46913,WP_104894044.1,207
Legionella pneumophila,446,PQM72401.1,244
Rhizobium sp. NXC24,2048897,WP_104827491.1,316
Rhizobium sp. NXC24,2048897,WP_104823159.1,201
Rhizobium sp. NXC24,2048897,WP_104821692.1,199
Achromobacter spanius,217203,AVJ27290.1,232
Pseudomonas sp. MYb193,1827300,AVJ20315.1,230
Ochrobactrum oryzae,335286,WP_104755822.1,202
Ochrobactrum oryzae,335286,WP_104755773.1,183
Ochrobactrum oryzae,335286,WP_104755182.1,206
Pseudomonas oceani,1708783,WP_104738292.1,181
Pseudomonas pseudoalcaligenes,330,WP_104730019.1,226
Labrenzia sp. EL143,2073157,WP_104701972.1,325
Labrenzia sp. EL143,2073157,WP_104701954.1,204
Labrenzia sp. EL143,2073157,WP_104700983.1,244
Ensifer adhaerens,106592,WP_104667160.1,202
Ensifer adhaerens,106592,WP_104663922.1,216
Ensifer adhaerens,106592,WP_104662512.1,206
Shewanella sp. WE21,2029986,AVI65410.1,235
Halomonas sp. GFAJ-1,1118153,AVI64375.1,210
Pseudomonas aeruginosa,287,PQM10311.1,237
Pseudomonas aeruginosa,287,PQM04072.1,237
Pseudomonas aeruginosa,287,PQL98170.1,237
Pseudoalteromonas carrageenovora,227,WP_104643133.1,235
Photobacterium phosphoreum,659,PQJ91458.1,216
Aliivibrio sifiae,566293,PQJ86730.1,222
Aliivibrio sifiae,566293,PQJ85192.1,222
Vibrio jasicida,766224,PQJ70944.1,227
Vibrio chagasii,170679,PQJ64481.1,222
Photobacterium angustum,661,PQJ62123.1,217
Vibrio jasicida,766224,PQJ55646.1,178
Vibrio splendidus,29497,PQJ51680.1,222
Vibrio campbellii,680,PQJ42428.1,227
Photobacterium aquimaris,512643,PQJ41435.1,216
Photobacterium aquimaris,512643,PQJ37069.1,224
Pseudomonas fluorescens,294,PQA94811.1,230
Agrobacterium tumefaciens,358,AVH43566.1,201
Agrobacterium tumefaciens,358,AVH42606.1,177
Agrobacterium tumefaciens,358,AVH41926.1,202
Agrobacterium tumefaciens,358,AVH40283.1,204
Rhodoferax sp. TS-BS-61-7,2094194,PQA78536.1,223
Ochrobactrum oryzae,335286,PQA74281.1,206
Ochrobactrum oryzae,335286,PQA73519.1,183
Ochrobactrum oryzae,335286,PQA73252.1,202
Pseudomonas aeruginosa,287,PPX74819.1,237
Pseudoalteromonas prydzensis,182141,WP_084448138.1,237
Fulvimarina manganoxydans,937218,WP_084411885.1,200
Fulvimarina manganoxydans,937218,WP_084410338.1,209
Fulvimarina manganoxydans,937218,WP_084410160.1,170
Photobacterium jeanii,858640,WP_084406689.1,263
Curvibacter delicatus,80879,WP_084382800.1,223
Pseudomonas mucidolens,46679,WP_084381908.1,230
Brevundimonas vesicularis,41276,WP_084375383.1,275
Rhizobium sp. RU36D,1907415,WP_084368471.1,185
Rhizobium sp. RU36D,1907415,WP_084367956.1,171
Rhizobium sp. RU36D,1907415,WP_084364310.1,203
Rhizobium sp. RU36D,1907415,WP_084363026.1,195
Pseudomonas pseudoalcaligenes,330,WP_084341474.1,226
Bradyrhizobium,374,WP_084334964.1,175
Bradyrhizobium,374,WP_084334602.1,199
Pseudomonas indica,137658,WP_084333938.1,239
Marinobacterium jannaschii,64970,WP_084332454.1,193
Salinarimonas rosea,552063,WP_084327161.1,233
Pseudomonas migulae,78543,WP_084323350.1,230
Aeromonas hydrophila,644,ORJ66440.1,253
Aeromonas hydrophila,644,ORJ65293.1,224
Pseudomonas jinjuensis,198616,WP_084311415.1,235
Pseudomonas flavescens,29435,WP_084308942.1,213
Bradyrhizobium sp. WSM2254,1188263,WP_084303032.1,199
Bradyrhizobium sp. WSM2254,1188263,WP_084302602.1,217
Desulfonatronovibrio hydrogenovorans,53245,WP_084301815.1,746
Pseudomonas sp. URIL14HWK12:I5,1261630,WP_084297561.1,230
Bradyrhizobium sp. WSM3983,1038867,WP_084293316.1,218
Bradyrhizobium sp. WSM3983,1038867,WP_084293047.1,74
Bradyrhizobium sp. WSM3983,1038867,WP_084293046.1,224
Deefgea rivuli,400948,WP_084282550.1,229
Deefgea rivuli,400948,WP_084282529.1,242
Novosphingobium sp. B1,1938756,WP_084280510.1,270
Sneathiella glossodoripedis,418853,WP_084264872.1,228
Rhodoplanes sp. Z2-YC6860,674703,WP_084245804.1,226
Rhodoplanes sp. Z2-YC6860,674703,WP_084245802.1,245
Hydrogenovibrio sp. Milos-T1,90813,WP_084222552.1,210
Aeromonas simiae,218936,WP_084214683.1,227
Halioglobus japonicus,930805,WP_084198685.1,222
Chromobacterium violaceum,536,WP_084194031.1,247
Methylomarinum vadi,438855,WP_084191179.1,199
Sulfurivirga caldicuralii,364032,WP_084188285.1,217
Vibrio pacinii,170674,WP_084186074.1,226
Sphingomonas astaxanthinifaciens,407019,WP_084184413.1,250
Afifella pfennigii,209897,WP_084174750.1,216
Pseudomonas knackmussii,65741,WP_084166617.1,245
Methylomonas sp. LW13,107637,WP_084153230.1,210
Brevundimonas nasdae,172043,WP_084140457.1,275
Cellvibrio mixtus,39650,WP_084128073.1,234
Andreprevotia lacus,1121000,WP_084092988.1,225
Azorhizobium sp. 35-67-5,1970321,OYX84532.1,212
Bradyrhizobium sp. 35-63-5,1970326,OYX79881.1,306
Rhizobiales bacterium 32-66-11,1970549,OYX75523.1,212
Caulobacter sp. 32-67-35,1970330,OYX67953.1,274
Comamonadaceae bacterium 32-67-11,1970505,OYX59532.1,233
Rhodobacterales bacterium 32-67-9,1970560,OYX45673.1,217
Rhizobiales bacterium 32-66-8,1970550,OYX12303.1,163
Sphingomonadales bacterium 32-68-7,1970596,OYX07028.1,212
Caulobacter vibrioides,155892,OYX05170.1,272
Bosea sp. 32-68-6,1970325,OYX01466.1,172
Bosea sp. 12-68-7,1970324,OYW66979.1,209
Bosea sp. 12-68-7,1970324,OYW65100.1,212
Rhizobiales bacterium 12-68-15,1970546,OYW59345.1,216
Hyphomicrobium sp. 12-62-95,1970389,OYW54196.1,213
Hyphomicrobium sp. 12-62-95,1970389,OYW53012.1,225
Hyphomicrobium sp. 12-62-95,1970389,OYW51833.1,214
Azorhizobium sp. 12-66-6,1970318,OYW44131.1,218
Caulobacter sp. 12-67-6,1970329,OYW25787.1,274
Bradyrhizobiaceae bacterium PARB1,2015576,OYU91139.1,258
Bradyrhizobiaceae bacterium PARB1,2015576,OYU90686.1,205
Bradyrhizobiaceae bacterium PARB1,2015576,OYU88288.1,205
Alphaproteobacteria bacterium PA3,2015571,OYU77542.1,373
Bradyrhizobium sp. PARBB1,2015559,OYU61410.1,337
Bradyrhizobium sp. PARBB1,2015559,OYU60208.1,204
Bradyrhizobium sp. PARBB1,2015559,OYU57723.1,248
Alphaproteobacteria bacterium PA1,2015569,OYU52105.1,354
Rhizobiales bacterium PAR1,2015577,OYU50527.1,199
Rhizobiales bacterium PAR1,2015577,OYU48727.1,298
Burkholderiales bacterium PBB4,2015566,OYU44774.1,231
Burkholderiales bacterium PBB4,2015566,OYU43148.1,229
Burkholderiales bacterium PBB2,2015564,OYU26018.1,218
Burkholderiales bacterium PBB1,2015563,OYT99733.1,191
Pseudomonas sp. PGPPP3,2015555,OYT97787.1,235
Pseudomonas sp. PGPPP3,2015555,OYT95711.1,200
Burkholderiales bacterium PBB3,2015565,OYT91151.1,204
Burkholderiales bacterium PBB6,2015568,OYT84858.1,238
Pseudomonas sp. PGPPP2,2015554,OYT76478.1,238
Thermoplasmatales archaeon ex4484_30,2012522,OYT62328.1,704
Rhodoferax sp. TH121,2022803,WP_094481530.1,217
Pseudomonas mandelii,75612,WP_094469747.1,230
Pseudomonas mandelii,75612,WP_094468559.1,235
Pannonibacter phragmitetus,121719,WP_094462062.1,186
Photobacterium damselae,38293,WP_094461583.1,216
Niveispirillum lacus,1981099,WP_094455670.1,281
Pectobacterium carotovorum,554,WP_094433048.1,229
Legionella pneumophila,446,SNV93031.1,244
Legionella spiritensis,452,SNV35041.1,236
Arcobacter butzleri,28197,SNV34438.1,213
Arcobacter butzleri,28197,SNV28341.1,199
Legionella pneumophila,446,SNV12046.1,244
Methanococcus aeolicus,42879,WP_011974056.1,390
Brucella abortus 93/2,1169217,EOQ44230.1,206
Brucella abortus I103_(UK3/01),1160190,EOQ42401.1,201
Brucella abortus I103_(UK3/01),1160190,EOQ41497.1,206
Brucella abortus I103_(UK3/01),1160190,EOQ40984.1,135
Brucella abortus 93/2,1169217,EOQ39073.1,201
Brucella abortus 93/2,1169217,EOQ37464.1,135
Bradyrhizobium sp. ORS 278,114615,WP_011924070.1,239
Pseudomonas protegens CHA0,1124983,AGL81932.1,230
Shewanella loihica,359303,WP_011864114.1,235
Methylibium petroleiphilum,105560,WP_011829826.1,228
Methylibium,316612,WP_011829474.1,238
Marinobacter hydrocarbonoclasticus,2743,WP_011784839.1,219
Psychromonas ingrahamii,357794,WP_011769825.1,228
Azoarcus sp. BH72,62928,WP_011764388.1,240
Shewanella amazonensis,60478,WP_011761370.1,235
Aeromonas,642,WP_011707442.1,224
Rhodopseudomonas palustris,1076,WP_011663748.1,207
Rhizobium leguminosarum,384,WP_011652094.1,201
Rhizobium leguminosarum,384,WP_011650071.1,199
Shewanella frigidimarina,56812,WP_011636846.1,200
Shewanella,22,WP_011635920.1,216
Shewanella sp. MR-7,60481,WP_011627414.1,235
Shewanella,22,WP_011621185.1,235
Chelativorans sp. BNC1,266779,WP_011581063.1,202
Chelativorans sp. BNC1,266779,WP_011580029.1,204
Chelativorans sp. BNC1,266779,WP_011578878.1,200
Chelativorans sp. BNC1,266779,WP_011578583.1,218
Pseudoalteromonas atlantica,288,WP_011573941.1,215
Roseobacter denitrificans,2434,WP_011568424.1,199
Sphingopyxis alaskensis,117207,WP_011543028.1,346
Pseudomonas entomophila,312306,WP_011531575.1,230
Nitrobacter hamburgensis,912,WP_011511021.1,206
Rhodopseudomonas,1073,WP_011503670.1,207
Shewanella denitrificans,192073,WP_011494841.1,237
Polaromonas sp. JS666,296591,WP_011481281.1,231
Rhodopseudomonas palustris,1076,WP_011473566.1,209
Saccharophagus degradans,86304,WP_011468590.1,241
Rhodoferax ferrireducens,192843,WP_011466026.1,230
Rhodopseudomonas palustris,1076,WP_011441136.1,328
Rhodopseudomonas palustris,1076,WP_011441040.1,206
Rhizobium etli,29449,WP_011426471.1,199
Rhizobium etli,29449,WP_011425956.1,191
Rhizobium etli,29449,WP_011425471.1,201
Hahella chejuensis,158327,WP_011397726.1,221
Hydrogenovibrio crunogenus,39765,WP_011369631.1,214
Desulfovibrio alaskensis,58180,WP_011367389.1,394
Pseudoalteromonas haloplanktis,228,WP_011328470.1,232
Nitrobacter winogradskyi,913,WP_011315393.1,206
Dechloromonas aromatica,259537,WP_011289078.1,224
Legionella pneumophila,446,CZN01621.1,244
Legionella pneumophila,446,CZM72971.1,244
Legionella pneumophila,446,CZN32360.1,244
Legionella pneumophila,446,CZL75867.1,244
Legionella pneumophila,446,CZM60354.1,244
Legionella pneumophila,446,CZL96691.1,244
Legionella pneumophila,446,CZN11094.1,244
Legionella pneumophila,446,CZN70750.1,244
Legionella pneumophila,446,CZN17224.1,244
Legionella pneumophila,446,CZN80925.1,244
Legionella pneumophila,446,CZM55297.1,244
Legionella pneumophila,446,CZM44010.1,244
Legionella pneumophila,446,CZN52753.1,244
Legionella pneumophila,446,CZM29379.1,244
Legionella pneumophila,446,CZL64222.1,244
Legionella pneumophila,446,CZM11462.1,244
Legionella pneumophila,446,CZM91394.1,244
Legionella pneumophila,446,CZM40218.1,244
Legionella pneumophila,446,CZM12549.1,244
Legionella pneumophila,446,CZN80972.1,244
Legionella pneumophila,446,CZN82353.1,244
Legionella pneumophila,446,CZN82195.1,244
Legionella pneumophila,446,CZO18181.1,244
Legionella pneumophila,446,CZO53243.1,244
Legionella pneumophila,446,CZN24113.1,244
Legionella pneumophila,446,CZN25914.1,244
Legionella pneumophila,446,CZM39281.1,244
Legionella pneumophila,446,CZM48660.1,244
Legionella pneumophila,446,CZN40613.1,244
Legionella pneumophila,446,CZO45801.1,244
Legionella pneumophila,446,CZN55508.1,244
Legionella pneumophila,446,CZM21453.1,244
Legionella pneumophila,446,CZI38795.1,244
Legionella pneumophila,446,CZN50890.1,244
Legionella pneumophila,446,CZN24483.1,244
Legionella pneumophila,446,CZL78164.1,244
Legionella pneumophila,446,CZO11584.1,244
Legionella pneumophila,446,CZN87658.1,244
Legionella pneumophila,446,CZN25372.1,244
Legionella pneumophila,446,CZM31241.1,244
Legionella pneumophila,446,CZM51083.1,244
Legionella pneumophila,446,CZO26359.1,244
Legionella pneumophila,446,CZN89500.1,244
Legionella pneumophila,446,CZI13480.1,244
Legionella pneumophila,446,CZN66153.1,244
Legionella pneumophila,446,CZN32477.1,244
Legionella pneumophila,446,CZM32712.1,244
Legionella pneumophila,446,CZO31243.1,244
Legionella pneumophila,446,CZM16201.1,244
Legionella pneumophila,446,CZO36809.1,244
Vibrio brasiliensis,170652,WP_040896042.1,220
Marinobacter santoriniensis,523742,WP_040886657.1,222
Thiomicrorhabdus sp. Kp2,1123518,WP_040728761.1,217
Novosphingobium tardaugens,169176,WP_040715120.1,337
Pannonibacter phragmitetus,121719,WP_040679353.1,204
Rhizobium mesoamericanum,1079800,WP_040676958.1,317
Nitrobacter sp. Nb-311A,314253,WP_040675845.1,206
Rhodovulum sp. PH10,1187851,WP_040619756.1,210
Mesorhizobium alhagi,475067,WP_040587197.1,201
Mesorhizobium amorphae,71433,WP_040584072.1,205
Mesorhizobium amorphae,71433,WP_040584041.1,329
Halomonas boliviensis,223527,WP_040480697.1,234
Labrenzia alexandrii,388408,WP_040452251.1,204
Agrobacterium albertimagni,147266,WP_040299624.1,205
Vibrio renipiscarius,1461322,KII78367.1,223
Vibrio renipiscarius,1461322,KII76753.1,223
Pseudomonas rhodesiae,76760,WP_040265685.1,230
Halomonas salina,42565,WP_040187144.1,235
Pseudomonas fluorescens,294,CEL26864.1,230
Vibrio ishigakensis,1481914,GAM55555.1,141
Vibrio sp. JCM 19236,1481926,GAM72120.1,141
Vibrio ishigakensis,1481914,GAM65342.1,141
Vibrio ishigakensis,1481914,GAM75957.1,141
Pseudomonas fluorescens,294,KII38227.1,230
Pseudomonas fluorescens,294,KII32978.1,230
Vibrio coralliilyticus,190893,WP_040122286.1,220
Aeromonas australiensis,1114880,WP_040093966.1,224
Aeromonas veronii,654,WP_040067953.1,197
Sphingobium indicum,332055,WP_039979969.1,351
Photobacterium sp. SKA34,121723,WP_039859816.1,217
Grimontia indica,1056512,WP_039850648.1,222
Rhizobium gallicum,56730,WP_039844961.1,199
Rhizobium gallicum,56730,WP_039844275.1,324
Rhizobium gallicum,56730,WP_039843606.1,199
Aeromonas hydrophila J-1,1419584,AJE34914.1,224
Pseudomonas,286,WP_039773040.1,230
Pseudomonas fluorescens,294,WP_039764200.1,230
Pseudomonas aeruginosa WS136,1341644,CDM46806.1,237
Pseudomonas fluorescens,294,KIF55317.1,230
Pseudomonas fluorescens,294,KIF55133.1,230
Vibrio owensii CAIM 1854 = LMG 25443,1229493,KIF52537.1,227
Vibrio owensii 47666-1,1344582,KIF48610.1,227
Lyngbya confervoides BDU141951,1574623,KIF44116.1,193
Lyngbya confervoides BDU141951,1574623,KIF38400.1,155
Rhizobium etli,29449,WP_039620721.1,191
Rhizobium etli,29449,WP_039619836.1,201
Rhizobium,379,WP_039617349.1,199
Pseudomonas sp. C5pp,1586081,WP_039615372.1,230
Pseudomonas putida,303,WP_039605192.1,203
Pseudomonas frederiksbergensis,104087,WP_039594186.1,229
Vibrio,662,WP_012600028.1,222
Methylocella silvestris,199596,WP_012589996.1,212
Oligotropha carboxidovorans,40137,WP_012563184.1,347
Oligotropha carboxidovorans,40137,WP_012562684.1,215
Rhizobium,379,WP_012558674.1,199
Rhizobium leguminosarum,384,WP_012558184.1,191
Rhizobium,379,WP_012557754.1,201
Aliivibrio fischeri,668,WP_012535223.1,221
Rhodopseudomonas palustris,1076,WP_012496734.1,220
Rhizobium,379,WP_012490264.1,233
Cellvibrio japonicus,155077,WP_012487033.1,255
Rhizobium,379,WP_012484911.1,199
Rhizobium,379,WP_012484374.1,190
Brucella vulpis,981386,WP_012460498.1,83
Methylorubrum populi,223967,WP_012454110.1,217
Methylorubrum populi,223967,WP_012454109.1,233
Methylorubrum populi,223967,WP_012453728.1,224
Beijerinckia indica,533,WP_012383879.1,207
Leptothrix cholodnii,34029,WP_012347123.1,245
Methylobacterium sp. 4-46,426117,WP_012334000.1,213
Methylobacterium,407,WP_012332271.1,230
Shewanella woodyi,60961,WP_012323119.1,235
Methylobacterium,407,WP_012320710.1,235
Shewanella halifaxensis,271098,WP_012278984.1,235
Pseudomonas,286,WP_012269968.1,230
Methylobacteriaceae,119045,WP_012253705.1,219
Methylobacteriaceae,119045,WP_012253704.1,234
Methylobacteriaceae,119045,WP_012253474.1,222
Azorhizobium caulinodans,7,WP_012172193.1,214
Shewanella pealeana,70864,WP_012153632.1,235
Arcobacter butzleri,28197,WP_012148050.1,213
Shewanella sediminis,271097,WP_012144477.1,236
Vibrio campbellii,680,WP_012130390.1,227
Parvibaculum lavamentivorans,256618,WP_012111561.1,252
Ochrobactrum,528,WP_012091016.1,206
Pseudomonas aeruginosa,287,WP_012076420.1,237
Sinorhizobium,28105,WP_012067679.1,206
Bradyrhizobium sp. BTAi1,288000,WP_012046964.1,251
Bradyrhizobium sp. BTAi1,288000,WP_012045176.1,208
Bradyrhizobium sp. BTAi1,288000,WP_012041332.1,214
Bradyrhizobium sp. ORS 278,114615,WP_012030467.1,207
Pseudomonas mendocina,300,WP_012018300.1,226
Arcobacter butzleri,28197,WP_012012825.1,199
Campylobacter concisus,199,WP_012001502.1,208
Campylobacter concisus,199,WP_012001497.1,219
Xanthobacter autotrophicus,280,WP_011996112.1,222
Campylobacter curvus,200,WP_011992525.1,208
Pseudomonas aeruginosa VRFPA02,1315978,EOQ80328.1,237
Sinorhizobium,28105,WP_011976097.1,196
Sinorhizobium,28105,WP_011975219.1,202
Moritella viscosa,80854,WP_082293716.1,230
Methylorubrum extorquens,408,WP_082291199.1,219
Methylorubrum extorquens,408,WP_082291017.1,178
Methylorubrum extorquens,408,WP_082289751.1,214
Methylorubrum extorquens,408,WP_082289210.1,210
Moritella viscosa,80854,WP_082287451.1,230
Moritella viscosa,80854,WP_082276066.1,230
Brucella vulpis,981386,WP_082253269.1,110
Kluyvera cryocrescens,580,WP_082221755.1,228
Photobacterium damselae,38293,WP_082212537.1,214
Photobacterium aphoticum,754436,WP_082211201.1,212
Photobacterium aphoticum,754436,WP_082211043.1,242
Photobacterium aphoticum,754436,WP_082210930.1,210
Pannonibacter phragmitetus,121719,WP_082205935.1,186
Pannonibacter phragmitetus,121719,WP_082205732.1,206
Devosia sp. H5989,1643450,WP_082202110.1,300
Cellvibrio sp. pealriver,1622269,WP_082191358.1,234
Aeromonas,642,WP_082186734.1,250
Agrobacterium genomosp. 5,1183418,WP_082185544.1,201
Agrobacterium genomosp. 5,1183418,WP_082184508.1,177
Aeromonas veronii,654,WP_082182333.1,197
Beggiatoa sp. 4572_84,1972449,OQY56322.1,248
Agrobacterium sp. SUL3,1701910,WP_082179029.1,189
Aeromonas schubertii,652,WP_082177940.1,238
Gammaproteobacteria bacterium LUC006_P13,1940809,OQX47897.1,206
Gammaproteobacteria bacterium LUC004_P11,1940811,OQX47521.1,134
Gammaproteobacteria bacterium LUC13017_P7,1940815,OQX43873.1,224
Gammaproteobacteria bacterium LUC13015_P5,1940817,OQX42215.1,206
