"","organism","TaxID","subgroup","level","RefSeq.FTP"
"40689","Shewanella sp. ALD9",2058330,"Gammaproteobacteria","SAMN08125743","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/315/GCA_002836315.1_ASM283631v1"
"30307","Psychromonas sp. Urea-02u-13",2058326,"Gammaproteobacteria","SAMN08125777","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/835/995/GCA_002835995.1_ASM283599v1"
"27648","Moritella sp. Urea-trap-13",2058327,"Gammaproteobacteria","SAMN08125779","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/355/GCA_002836355.1_ASM283635v1"
"35029","Methylomonas sp. Kb3",1611544,"Gammaproteobacteria","SAMN08111978","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/834/115/GCA_002834115.1_ASM283411v1"
"22221","Macromonas sp. BK-30",1843082,"Betaproteobacteria","SAMN07660549","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/837/145/GCA_002837145.1_ASM283714v1"
"33304","Psychromonas sp. MB-3u-54",2058319,"Gammaproteobacteria","SAMN08125766","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/415/GCA_002836415.1_ASM283641v1"
"22092","Betaproteobacteria bacterium HGW-Betaproteobacteria-14",2013705,"Betaproteobacteria","SAMN06767606","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/845/GCA_002840845.1_ASM284084v1"
"22170","Betaproteobacteria bacterium HGW-Betaproteobacteria-12",2013703,"Betaproteobacteria","SAMN06767604","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/345/GCA_002842345.1_ASM284234v1"
"22167","Betaproteobacteria bacterium HGW-Betaproteobacteria-13",2013704,"Betaproteobacteria","SAMN06767605","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/325/GCA_002842325.1_ASM284232v1"
"22169","Betaproteobacteria bacterium HGW-Betaproteobacteria-17",2013708,"Betaproteobacteria","SAMN06767609","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/315/GCA_002842315.1_ASM284231v1"
"22092.1","Betaproteobacteria bacterium HGW-Betaproteobacteria-14",2013705,"Betaproteobacteria","SAMN06767606","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/845/GCA_002840845.1_ASM284084v1"
"22166","Betaproteobacteria bacterium HGW-Betaproteobacteria-18",2013709,"Betaproteobacteria","SAMN06767610","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/265/GCA_002842265.1_ASM284226v1"
"22094","Betaproteobacteria bacterium HGW-Betaproteobacteria-19",2013710,"Betaproteobacteria","SAMN06767611","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/825/GCA_002840825.1_ASM284082v1"
"22098","Betaproteobacteria bacterium HGW-Betaproteobacteria-21",2013713,"Betaproteobacteria","SAMN06767614","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/815/GCA_002840815.1_ASM284081v1"
"22163","Betaproteobacteria bacterium HGW-Betaproteobacteria-20",2013712,"Betaproteobacteria","SAMN06767613","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/195/GCA_002842195.1_ASM284219v1"
"22165","Betaproteobacteria bacterium HGW-Betaproteobacteria-22",2013714,"Betaproteobacteria","SAMN06767615","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/285/GCA_002842285.1_ASM284228v1"
"22161","Betaproteobacteria bacterium HGW-Betaproteobacteria-6",2013718,"Betaproteobacteria","SAMN06767619","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/145/GCA_002842145.1_ASM284214v1"
"22089","Betaproteobacteria bacterium HGW-Betaproteobacteria-7",2013719,"Betaproteobacteria","SAMN06767620","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/765/GCA_002840765.1_ASM284076v1"
"22159","Betaproteobacteria bacterium HGW-Betaproteobacteria-8",2013720,"Betaproteobacteria","SAMN06767621","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/135/GCA_002842135.1_ASM284213v1"
"22079","Deltaproteobacteria bacterium HGW-Deltaproteobacteria-13",2013740,"delta/epsilon subdivisions","SAMN06767641","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/555/GCA_002840555.1_ASM284055v1"
"22074","Deltaproteobacteria bacterium HGW-Deltaproteobacteria-23",2013751,"delta/epsilon subdivisions","SAMN06767652","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/465/GCA_002840465.1_ASM284046v1"
"22143","Deltaproteobacteria bacterium HGW-Deltaproteobacteria-24",2013752,"delta/epsilon subdivisions","SAMN06767653","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/841/805/GCA_002841805.1_ASM284180v1"
"22076","Deltaproteobacteria bacterium HGW-Deltaproteobacteria-7",2013757,"delta/epsilon subdivisions","SAMN06767658","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/445/GCA_002840445.1_ASM284044v1"
"22053","Gammaproteobacteria bacterium HGW-Gammaproteobacteria-12",2013794,"Gammaproteobacteria","SAMN06767713","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/035/GCA_002840035.1_ASM284003v1"
"22054","Gammaproteobacteria bacterium HGW-Gammaproteobacteria-11",2013793,"Gammaproteobacteria","SAMN06767712","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/055/GCA_002840055.1_ASM284005v1"
"22059","Gammaproteobacteria bacterium HGW-Gammaproteobacteria-13",2013795,"Gammaproteobacteria","SAMN06767714","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/155/GCA_002840155.1_ASM284015v1"
"22047","Gammaproteobacteria bacterium HGW-Gammaproteobacteria-9",2013805,"Gammaproteobacteria","SAMN06767724","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/839/885/GCA_002839885.1_ASM283988v1"
"2077","Pseudoalteromonas arctica A 37-1-2",1117313,"Gammaproteobacteria","SAMN02470925","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/238/395/GCA_000238395.4_ASM23839v4"
"14099","Enterovibrio nigricans DSM 22720",1121868,"Gammaproteobacteria","SAMN02745132","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/167/155/GCA_900167155.1_IMG-taxon_2568526010_annotated_assembly"
"22483","Pseudomonas hunanensis",1247546,"Gammaproteobacteria","SAMN08123256","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/910/975/GCA_002910975.1_ASM291097v1"
"21979","Aeromonas lusitana",931529,"Gammaproteobacteria","SAMN07981238","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/812/985/GCA_002812985.1_MDC2473"
"21952","Vibrio salilacus",1323749,"Gammaproteobacteria","SAMN07212053","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/811/245/GCA_002811245.1_ASM281124v1"
"62.2","Aeromonas salmonicida subsp. salmonicida A449",382245,"Gammaproteobacteria","SAMN02603664","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/395/GCA_000196395.1_ASM19639v1"
"8912","Pseudomonas donghuensis",1163398,"Gammaproteobacteria","SAMN02472130","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/259/195/GCA_000259195.1_LF10417_PSEudwD"
"1034.1","Achromobacter xylosoxidans",85698,"Betaproteobacteria","SAMEA2517358","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/475/GCA_001457475.1_NCTC10807"
"9069","Achromobacter ruhlandii",72557,"Betaproteobacteria","SAMN05715545","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/082/135/GCA_002082135.1_ASM208213v1"
"8028","Bradyrhizobium lablabi",722472,"Alphaproteobacteria","SAMN02689497","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/440/475/GCA_001440475.1_ASM144047v1"
"2235","Afipia broomeae ATCC 49717",883078,"Alphaproteobacteria","SAMN02596753","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/675/GCA_000314675.2_Afip_broo_ATCC_49717_V1"
"21915","Aeromonas cavernicola",1006623,"Gammaproteobacteria","SAMN07981412","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/795/305/GCA_002795305.1_ASM279530v1"
"92.1","Methylobacterium radiotolerans JCM 2831",426355,"Alphaproteobacteria","SAMN00000277","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/725/GCA_000019725.1_ASM1972v1"
"1608","Pseudomonas sp. ADP",47660,"unclassified Proteobacteria","SAMN04099190","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/465/445/GCA_001465445.1_ADP0v1"
"1369","Marinomonas posidonica IVIA-Po-181",491952,"Gammaproteobacteria","SAMN00713622","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/215/GCA_000214215.1_ASM21421v1"
"2012","Marinobacter manganoxydans MnI7-9",1094979,"Gammaproteobacteria","SAMN02471017","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/625/GCA_000235625.2_ASM23562v1"
"4400","Microbulbifer agarilyticus",260552,"Gammaproteobacteria","SAMN06311449","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/999/945/GCA_001999945.1_ASM199994v1"
"21940","Shewanella carassii",1987584,"Gammaproteobacteria","SAMN07080850","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/777/975/GCA_002777975.1_ASM277797v1"
"30308","Marinomonas sp. BSi20584",1594462,"Gammaproteobacteria","SAMN03333110","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/792/415/GCA_002792415.1_ASM279241v1"
"21579","Zetaproteobacteria bacterium CG_4_8_14_3_um_filter_59_5",1974115,"Zetaproteobacteria","SAMN06659967","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/788/155/GCA_002788155.1_ASM278815v1"
"21609","Piscirickettsiaceae bacterium CG_4_9_14_0_2_um_filter_44_546",1974077,"Gammaproteobacteria","SAMN06659997","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/788/795/GCA_002788795.1_ASM278879v1"
"21623","Zetaproteobacteria bacterium CG_4_9_14_0_2_um_filter_59_191",1974116,"Zetaproteobacteria","SAMN06660012","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/789/095/GCA_002789095.1_ASM278909v1"
"21660","Comamonadaceae bacterium CG_4_9_14_3_um_filter_60_33",1973951,"Betaproteobacteria","SAMN06660054","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/789/915/GCA_002789915.1_ASM278991v1"
"21713","Piscirickettsiaceae bacterium CG_4_9_14_3_um_filter_43_564",1974078,"Gammaproteobacteria","SAMN06660107","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/790/975/GCA_002790975.1_ASM279097v1"
"21742","Zetaproteobacteria bacterium CG_4_9_14_3_um_filter_49_83",1974118,"Zetaproteobacteria","SAMN06660135","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/791/545/GCA_002791545.1_ASM279154v1"
"21741","Zetaproteobacteria bacterium CG_4_9_14_3_um_filter_53_7",1974119,"Zetaproteobacteria","SAMN06660136","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/791/535/GCA_002791535.1_ASM279153v1"
"21743","Zetaproteobacteria bacterium CG_4_9_14_3_um_filter_54_145",1974120,"Zetaproteobacteria","SAMN06660137","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/791/575/GCA_002791575.1_ASM279157v1"
"21785","Piscirickettsiaceae bacterium CG_4_10_14_0_2_um_filter_44_336",1974073,"Gammaproteobacteria","SAMN06659758","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/792/475/GCA_002792475.1_ASM279247v1"
"21423","Hydrogenophilales bacterium CG_4_10_14_0_8_um_filter_62_70",1974026,"Hydrogenophilalia","SAMN06659814","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/785/145/GCA_002785145.1_ASM278514v1"
"21390","Piscirickettsiaceae bacterium CG_4_10_14_0_8_um_filter_44_742",1974074,"Gammaproteobacteria","SAMN06659834","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/784/485/GCA_002784485.1_ASM278448v1"
"21383","Zetaproteobacteria bacterium CG_4_10_14_0_8_um_filter_49_80",1974111,"Zetaproteobacteria","SAMN06659850","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/784/325/GCA_002784325.1_ASM278432v1"
"21410","Zetaproteobacteria bacterium CG_4_10_14_0_8_um_filter_59_127",1974113,"Zetaproteobacteria","SAMN06659852","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/784/885/GCA_002784885.1_ASM278488v1"
"21406","Comamonadaceae bacterium CG_4_10_14_3_um_filter_60_42",1973947,"Betaproteobacteria","SAMN06659859","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/784/775/GCA_002784775.1_ASM278477v1"
"21322","Piscirickettsiaceae bacterium CG_4_10_14_3_um_filter_44_349",1974075,"Gammaproteobacteria","SAMN06659886","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/783/055/GCA_002783055.1_ASM278305v1"
"21312","Zetaproteobacteria bacterium CG_4_10_14_3_um_filter_54_28",1974114,"Zetaproteobacteria","SAMN06659900","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/782/825/GCA_002782825.1_ASM278282v1"
"21350","Hydrogenophilales bacterium CG_4_8_14_3_um_filter_62_83",1974029,"Hydrogenophilalia","SAMN06659929","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/783/625/GCA_002783625.1_ASM278362v1"
"21347","Piscirickettsiaceae bacterium CG_4_8_14_3_um_filter_44_38",1974076,"Gammaproteobacteria","SAMN06659950","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/783/565/GCA_002783565.1_ASM278356v1"
"21271","Hydrogenophilales bacterium CG12_big_fil_rev_8_21_14_0_65_61_21",1974033,"Hydrogenophilalia","SAMN06659556","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/782/005/GCA_002782005.1_ASM278200v1"
"21267","Piscirickettsiaceae bacterium CG12_big_fil_rev_8_21_14_0_65_44_934",1974080,"Gammaproteobacteria","SAMN06659563","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/781/925/GCA_002781925.1_ASM278192v1"
"21266","Zetaproteobacteria bacterium CG12_big_fil_rev_8_21_14_0_65_54_13",1974126,"Zetaproteobacteria","SAMN06659567","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/781/905/GCA_002781905.1_ASM278190v1"
"21338","Hydrogenophilales bacterium CG15_BIG_FIL_POST_REV_8_21_14_020_62_31",1974034,"Hydrogenophilalia","SAMN06659572","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/783/355/GCA_002783355.1_ASM278335v1"
"21236","Zetaproteobacteria bacterium CG02_land_8_20_14_3_00_50_9",1974121,"Zetaproteobacteria","SAMN06659184","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/781/245/GCA_002781245.1_ASM278124v1"
"21213","Hydrogenophilales bacterium CG03_land_8_20_14_0_80_62_28",1974032,"Hydrogenophilalia","SAMN06659188","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/780/735/GCA_002780735.1_ASM278073v1"
"21208","Gallionellales bacterium CG03_land_8_20_14_0_80_55_15",1974017,"Betaproteobacteria","SAMN06659192","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/780/675/GCA_002780675.1_ASM278067v1"
"21178","Zetaproteobacteria bacterium CG03_land_8_20_14_0_80_59_51",1974122,"Zetaproteobacteria","SAMN06659211","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/779/855/GCA_002779855.1_ASM277985v1"
"21166","Zetaproteobacteria bacterium CG06_land_8_20_14_3_00_59_53",1974123,"Zetaproteobacteria","SAMN06659231","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/779/605/GCA_002779605.1_ASM277960v1"
"21185","Piscirickettsiaceae bacterium CG07_land_8_20_14_0_80_44_28",1974079,"Gammaproteobacteria","SAMN06659250","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/779/995/GCA_002779995.1_ASM277999v1"
"21533","Zetaproteobacteria bacterium CG11_big_fil_rev_8_21_14_0_20_59_439",1974125,"Zetaproteobacteria","SAMN06659546","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/786/925/GCA_002786925.1_ASM278692v1"
"21527","Piscirickettsiaceae bacterium CG18_big_fil_WC_8_21_14_2_50_44_103",1974081,"Gammaproteobacteria","SAMN06659623","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/786/735/GCA_002786735.1_ASM278673v1"
"20953","Zetaproteobacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_54_7",1974129,"Zetaproteobacteria","SAMN06659705","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/771/755/GCA_002771755.1_ASM277175v1"
"20951","Zetaproteobacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_59_86",1974130,"Zetaproteobacteria","SAMN06659706","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/771/735/GCA_002771735.1_ASM277173v1"
"14504","Rhizobacter gummiphilus",946333,"Betaproteobacteria","SAMN04621830","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/116/905/GCA_002116905.1_ASM211690v1"
"21518","Methylobacterium frigidaeris",2038277,"Alphaproteobacteria","SAMN07836923","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/759/055/GCA_002759055.1_ASM275905v1"
"27515","Mitsuaria sp. HWN-4",2049333,"Betaproteobacteria","SAMN07832637","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/761/755/GCA_002761755.1_ASM276175v1"
"1152","Methylosinus trichosporium OB3b",595536,"Alphaproteobacteria","SAMN02441795","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/815/GCA_000178815.2_ASM17881v2"
"21483","Marinobacter guineae",432303,"Gammaproteobacteria","SAMN07602866","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/744/735/GCA_002744735.1_ASM274473v1"
"38215","Marinobacter sp. PWS21",2033727,"Gammaproteobacteria","SAMN07602843","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/744/715/GCA_002744715.1_ASM274471v1"
"816","Desulfobulbus propionicus DSM 2032",577650,"delta/epsilon subdivisions","SAMN00713581","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/885/GCA_000186885.1_ASM18688v1"
"4572","Gammaproteobacteria bacterium SCGC AAA003-E02",939637,"Gammaproteobacteria","SAMN02441435","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/484/735/GCA_000484735.1_ASM48473v1"
"4571","Deltaproteobacteria bacterium SCGC AAA003-F15",939568,"delta/epsilon subdivisions","SAMN02441101","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/484/715/GCA_000484715.1_ASM48471v1"
"1202","Sulfuricurvum kujiense DSM 16994",709032,"delta/epsilon subdivisions","SAMN00713566","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/725/GCA_000183725.1_ASM18372v1"
"33604","Vibrio rotiferianus CAIM 577 = LMG 21460",1224743,"Gammaproteobacteria","SAMD00036662","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/400/405/GCA_000400405.1_ASM40040v1"
"6285","Pseudomonas toyotomiensis",554344,"Gammaproteobacteria","SAMD00023461","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/625/GCA_000974625.1_ASM97462v1"
"21460","Chitinimonas sp. BJB300",1559339,"Betaproteobacteria","SAMN03098007","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/735/695/GCA_002735695.1_ASM273569v1"
"21458","Iodobacter sp. BJB302",1506510,"Betaproteobacteria","SAMN07782285","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/735/645/GCA_002735645.1_ASM273564v1"
"1923","Arcobacter molluscorum CECT 7696",870501,"delta/epsilon subdivisions","SAMN03737954","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/935/GCF_003544935.1_ASM354493v1"
"22648","Arcobacter canalis",1912871,"delta/epsilon subdivisions","SAMN07360936","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/723/485/GCA_002723485.1_ASM272348v1"
"37607","Aeromonas salmonicida subsp. pectinolytica 34mel",1324960,"Gammaproteobacteria","SAMN04208118","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/735/225/GCA_002735225.1_ASM273522v1"
"2710","Cycloclasticus sp. P1",385025,"Gammaproteobacteria","SAMN02603953","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/965/GCA_000299965.1_ASM29996v1"
"20742","Porticoccus sp.",2024853,"Gammaproteobacteria","SAMN07619788","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/685/455/GCA_002685455.1_ASM268545v1"
"2707","Methylophaga sp. 42_25_T18",1856285,"Gammaproteobacteria","SAMN05179557","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/163/085/GCA_002163085.1_ASM216308v1"
"986","Thalassobium sp. R2A62",633131,"Alphaproteobacteria","SAMN02436219","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/835/GCA_000161835.1_ASM16183v1"
"2627","Alteromonas sp. Mac1",1777491,"Gammaproteobacteria","SAMN04390200","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/562/125/GCA_001562125.1_ASM156212v1"
"2530","Marinobacter sp. BSs20148",490759,"Gammaproteobacteria","SAMN02603049","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/275/GCA_000283275.1_ASM28327v1"
"2662","Halomonas sp. KO116",1504981,"Gammaproteobacteria","SAMN02821277","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/734/975/GCA_000734975.2_ASM73497v2"
"21469","Kangiella sp.",1920245,"Gammaproteobacteria","SAMN07568870","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/733/465/GCA_002733465.1_ASM273346v1"
"9053","Oceanobacter sp.",2030817,"Gammaproteobacteria","SAMN07568852","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/733/645/GCA_002733645.1_ASM273364v1"
"2532","Moritella sp. PE36",58051,"Gammaproteobacteria","SAMN02436150","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/170/855/GCA_000170855.1_ASM17085v1"
"2575","Colwellia sp. MT41",58049,"Gammaproteobacteria","SAMN04255090","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/444/365/GCA_001444365.1_ASM144436v1"
"21455","Desulfotalea sp.",2030813,"delta/epsilon subdivisions","SAMN07568820","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/733/995/GCA_002733995.1_ASM273399v1"
"1067","Pseudoalteromonas sp. SM9913",234831,"Gammaproteobacteria","SAMN02603856","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/065/GCA_000184065.1_ASM18406v1"
"32609","Curvibacter sp. PD_MW3",2027918,"Betaproteobacteria","SAMN07511534","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/633/085/GCA_002633085.1_ASM263308v1"
"5736","Sulfuricurvum sp. PD_MW2",2027917,"delta/epsilon subdivisions","SAMN07462395","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/633/015/GCA_002633015.1_ASM263301v1"
"8185","Lacimicrobium alkaliphilum",1526571,"Gammaproteobacteria","SAMN04324273","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/466/725/GCA_001466725.1_ASM146672v1"
"27336","Aeromonas sp. CA23",2033032,"Gammaproteobacteria","SAMN07585949","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/587/065/GCA_002587065.1_ASM258706v1"
"3040","Aeromonas sp. CU5",2033033,"Gammaproteobacteria","SAMN07585966","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/586/745/GCA_002586745.1_ASM258674v1"
"20530","Halomonas beimenensis",475662,"Gammaproteobacteria","SAMN07135858","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/549/795/GCA_002549795.1_ASM254979v1"
"124","Bradyrhizobium japonicum USDA 6",1037409,"Alphaproteobacteria","SAMD00060992","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/375/GCA_000284375.1_ASM28437v1"
"3102","Comamonas terrigena NBRC 13299",1219032,"Betaproteobacteria","SAMD00018640","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/545/GCA_001515545.1_ASM151554v1"
"20516","Mangrovitalea sediminis",1982043,"Gammaproteobacteria","SAMN07614990","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/514/725/GCA_002514725.1_ASM251472v1"
"19623","Vibrio thalassae",1243014,"Gammaproteobacteria","SAMEA2343672","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/089/835/GCA_900089835.1_VthalassaeCECT8203_Velvet_Prokka"
"14575","Kosakonia pseudosacchari",1646340,"Gammaproteobacteria","SAMN05935543","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/510/255/GCA_002510255.1_ASM251025v1"
"5935","Halomonas hydrothermalis",115561,"Gammaproteobacteria","SAMN07609045","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/442/575/GCA_002442575.1_ASM244257v1"
"7650","Methylomonas koyamae JCM 16701",1294261,"Gammaproteobacteria","SAMD00000536","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/312/005/GCA_001312005.1_ASM131200v1"
"27498","Cycloclasticus sp. PY97N",728003,"Gammaproteobacteria","SAMN07682729","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/443/175/GCA_002443175.1_ASM244317v1"
"15196","Zobellella denitrificans",347534,"Gammaproteobacteria","SAMN04027252","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/407/485/GCA_002407485.1_ASM240748v1"
"35473","Microbulbifer sp. WRN-8",1781068,"Gammaproteobacteria","SAMN04419353","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/641/755/GCA_001641755.2_ASM164175v2"
"2081","Pseudoalteromonas marina",267375,"Gammaproteobacteria","SAMN07666111","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/407/085/GCA_002407085.1_ASM240708v1"
"2085","Citrobacter werkmanii",67827,"Gammaproteobacteria","SAMN06444903","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/025/225/GCA_002025225.1_ASM202522v1"
"427.1","Pseudoalteromonas atlantica T6c",342610,"Gammaproteobacteria","SAMN02598305","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/225/GCA_000014225.1_ASM1422v1"
"22719","Halomonas nigrificans",2042704,"Gammaproteobacteria","SAMN07682383","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/374/315/GCA_002374315.1_ASM237431v1"
