"","organism","TaxID","subgroup","level","RefSeq.FTP","tbl","prt"
"28782","Campylobacter concisus 13826",360104,"delta/epsilon subdivisions","SAMN02604054","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/725/GCA_000017725.2_ASM1772v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/725/GCA_000017725.2_ASM1772v2/GCA_000017725.2_ASM1772v2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/725/GCA_000017725.2_ASM1772v2/GCA_000017725.2_ASM1772v2_protein.faa.gz"
"24289","Arcobacter suis CECT 7833",663365,"delta/epsilon subdivisions","SAMN03737957","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/815/GCF_003544815.1_ASM354481v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/815/GCF_003544815.1_ASM354481v1/GCF_003544815.1_ASM354481v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/815/GCF_003544815.1_ASM354481v1/GCF_003544815.1_ASM354481v1_protein.faa.gz"
"8265","Roseateles depolymerans",76731,"Betaproteobacteria","SAMN04363976","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/865/GCA_001483865.1_ASM148386v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/865/GCA_001483865.1_ASM148386v1/GCA_001483865.1_ASM148386v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/865/GCA_001483865.1_ASM148386v1/GCA_001483865.1_ASM148386v1_protein.faa.gz"
"3739","Pseudacidovorax intermedius",433924,"Betaproteobacteria","SAMN03401387","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/476/815/GCA_001476815.1_ASM147681v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/476/815/GCA_001476815.1_ASM147681v1/GCA_001476815.1_ASM147681v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/476/815/GCA_001476815.1_ASM147681v1/GCA_001476815.1_ASM147681v1_protein.faa.gz"
"23904","Corallincola sp. C4",2282215,"Gammaproteobacteria","SAMN09668232","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/336/225/GCA_003336225.1_ASM333622v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/336/225/GCA_003336225.1_ASM333622v1/GCA_003336225.1_ASM333622v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/336/225/GCA_003336225.1_ASM333622v1/GCA_003336225.1_ASM333622v1_protein.faa.gz"
"1932","Pseudomonas synxantha",47883,"Gammaproteobacteria","SAMN03398829","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/415/GCA_000968415.2_ASM96841v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/415/GCA_000968415.2_ASM96841v2/GCA_000968415.2_ASM96841v2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/415/GCA_000968415.2_ASM96841v2/GCA_000968415.2_ASM96841v2_protein.faa.gz"
"24683","Shewanella algidipiscicola",614070,"Gammaproteobacteria","SAMEA4591064","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/380/485/GCA_900380485.1_ERP106791_PRJEB24924","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/380/485/GCA_900380485.1_ERP106791_PRJEB24924/GCA_900380485.1_ERP106791_PRJEB24924_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/380/485/GCA_900380485.1_ERP106791_PRJEB24924/GCA_900380485.1_ERP106791_PRJEB24924_protein.faa.gz"
"24349","Oceanospirillales bacterium WDS2A16A",1853216,"Gammaproteobacteria","SAMN09665230","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/577/475/GCA_003577475.1_ASM357747v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/577/475/GCA_003577475.1_ASM357747v1/GCA_003577475.1_ASM357747v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/577/475/GCA_003577475.1_ASM357747v1/GCA_003577475.1_ASM357747v1_protein.faa.gz"
"6065","Methyloceanibacter caenitepidi",1384459,"Alphaproteobacteria","SAMD00019677","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/475/GCA_000828475.1_ASM82847v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/475/GCA_000828475.1_ASM82847v1/GCA_000828475.1_ASM82847v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/475/GCA_000828475.1_ASM82847v1/GCA_000828475.1_ASM82847v1_protein.faa.gz"
"30503","Methylotenera sp. L2L1",1502770,"Betaproteobacteria","SAMN02800689","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/744/605/GCA_000744605.1_ASM74460v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/744/605/GCA_000744605.1_ASM74460v1/GCA_000744605.1_ASM74460v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/744/605/GCA_000744605.1_ASM74460v1/GCA_000744605.1_ASM74460v1_protein.faa.gz"
"27681","Methylosinus sp. PW1",107636,"Alphaproteobacteria","SAMN02746043","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/745/215/GCA_000745215.1_ASM74521v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/745/215/GCA_000745215.1_ASM74521v1/GCA_000745215.1_ASM74521v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/745/215/GCA_000745215.1_ASM74521v1/GCA_000745215.1_ASM74521v1_protein.faa.gz"
"6002","Methylomonas denitrificans",1538553,"Gammaproteobacteria","SAMN02997349","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/785/705/GCA_000785705.2_ASM78570v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/785/705/GCA_000785705.2_ASM78570v2/GCA_000785705.2_ASM78570v2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/785/705/GCA_000785705.2_ASM78570v2/GCA_000785705.2_ASM78570v2_protein.faa.gz"
"30902","Methylibium sp. T29",1430884,"Betaproteobacteria","SAMN02422539","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/576/205/GCA_000576205.1_Methylibium_sp._T29-A_2.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/576/205/GCA_000576205.1_Methylibium_sp._T29-A_2.0/GCA_000576205.1_Methylibium_sp._T29-A_2.0_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/576/205/GCA_000576205.1_Methylibium_sp._T29-A_2.0/GCA_000576205.1_Methylibium_sp._T29-A_2.0_protein.faa.gz"
"28754","Methylophaga thiooxydans",392484,"Gammaproteobacteria","SAMN03093204","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/155/GCA_000767155.1_ASM76715v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/155/GCA_000767155.1_ASM76715v1/GCA_000767155.1_ASM76715v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/155/GCA_000767155.1_ASM76715v1/GCA_000767155.1_ASM76715v1_protein.faa.gz"
"38484","Bradyrhizobium diazoefficiens SEMIA 5080",754504,"Alphaproteobacteria","SAMN02739028","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/648/595/GCA_000648595.2_ASM64859v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/648/595/GCA_000648595.2_ASM64859v2/GCA_000648595.2_ASM64859v2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/648/595/GCA_000648595.2_ASM64859v2/GCA_000648595.2_ASM64859v2_protein.faa.gz"
"1772","Methylobacterium oryzae CBMB20",693986,"Alphaproteobacteria","SAMN03075686","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/795/GCA_000757795.1_ASM75779v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/795/GCA_000757795.1_ASM75779v1/GCA_000757795.1_ASM75779v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/795/GCA_000757795.1_ASM75779v1/GCA_000757795.1_ASM75779v1_protein.faa.gz"
"5617","Methylomarinum vadi",438855,"Gammaproteobacteria","SAMN02745036","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/733/935/GCA_000733935.1_ASM73393v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/733/935/GCA_000733935.1_ASM73393v1/GCA_000733935.1_ASM73393v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/733/935/GCA_000733935.1_ASM73393v1/GCA_000733935.1_ASM73393v1_protein.faa.gz"
"5614","Methylomicrobium agile",39774,"Gammaproteobacteria","SAMN02745538","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/733/855/GCA_000733855.1_ASM73385v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/733/855/GCA_000733855.1_ASM73385v1/GCA_000733855.1_ASM73385v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/733/855/GCA_000733855.1_ASM73385v1/GCA_000733855.1_ASM73385v1_protein.faa.gz"
"35145","Methylocystis sp. SB2",743836,"Alphaproteobacteria","SAMN02471884","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/825/GCA_000499825.2_Methylocystis_strain_SB2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/825/GCA_000499825.2_Methylocystis_strain_SB2/GCA_000499825.2_Methylocystis_strain_SB2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/825/GCA_000499825.2_Methylocystis_strain_SB2/GCA_000499825.2_Methylocystis_strain_SB2_protein.faa.gz"
"5039","Rhodospirillales bacterium URHD0088",1380394,"Alphaproteobacteria","SAMN02584986","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/518/365/GCA_000518365.1_ASM51836v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/518/365/GCA_000518365.1_ASM51836v1/GCA_000518365.1_ASM51836v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/518/365/GCA_000518365.1_ASM51836v1/GCA_000518365.1_ASM51836v1_protein.faa.gz"
"7325","Vibrio lentus",136468,"Gammaproteobacteria","SAMN03793181","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/238/475/GCA_001238475.1_ASM123847v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/238/475/GCA_001238475.1_ASM123847v1/GCA_001238475.1_ASM123847v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/238/475/GCA_001238475.1_ASM123847v1/GCA_001238475.1_ASM123847v1_protein.faa.gz"
"33442","Vibrio cyclitrophicus",47951,"Gammaproteobacteria","SAMN05172613","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/675/855/GCA_001675855.1_ASM167585v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/675/855/GCA_001675855.1_ASM167585v1/GCA_001675855.1_ASM167585v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/675/855/GCA_001675855.1_ASM167585v1/GCA_001675855.1_ASM167585v1_protein.faa.gz"
"22275","Uliginosibacterium sp. TH139",2067453,"Betaproteobacteria","SAMN08272642","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/855/595/GCA_002855595.1_ASM285559v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/855/595/GCA_002855595.1_ASM285559v1/GCA_002855595.1_ASM285559v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/855/595/GCA_002855595.1_ASM285559v1/GCA_002855595.1_ASM285559v1_protein.faa.gz"
"22281","Ketobacter alkanivorans",1917421,"Gammaproteobacteria","SAMN06011404","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/863/865/GCA_002863865.1_ASM286386v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/863/865/GCA_002863865.1_ASM286386v1/GCA_002863865.1_ASM286386v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/863/865/GCA_002863865.1_ASM286386v1/GCA_002863865.1_ASM286386v1_protein.faa.gz"
"22255","Photobacterium carnosum",2023717,"Gammaproteobacteria","SAMN07431175","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/849/605/GCA_002849605.1_ASM284960v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/849/605/GCA_002849605.1_ASM284960v1/GCA_002849605.1_ASM284960v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/849/605/GCA_002849605.1_ASM284960v1/GCA_002849605.1_ASM284960v1_protein.faa.gz"
"22282","Endozoicomonas acroporae",1701104,"Gammaproteobacteria","SAMN08174373","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/864/045/GCA_002864045.1_ASM286404v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/864/045/GCA_002864045.1_ASM286404v1/GCA_002864045.1_ASM286404v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/864/045/GCA_002864045.1_ASM286404v1/GCA_002864045.1_ASM286404v1_protein.faa.gz"
"33040","Desulfuromonas sp.",892,"delta/epsilon subdivisions","SAMN07982686","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/868/905/GCA_002868905.1_ASM286890v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/868/905/GCA_002868905.1_ASM286890v1/GCA_002868905.1_ASM286890v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/868/905/GCA_002868905.1_ASM286890v1/GCA_002868905.1_ASM286890v1_protein.faa.gz"
"38190","Azoarcus sp.",29544,"Betaproteobacteria","SAMN07982677","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/045/GCA_002869045.1_ASM286904v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/045/GCA_002869045.1_ASM286904v1/GCA_002869045.1_ASM286904v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/045/GCA_002869045.1_ASM286904v1/GCA_002869045.1_ASM286904v1_protein.faa.gz"
"22302","Denitrovibrio sp.",2053308,"Deferribacteres","SAMN07982671","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/145/GCA_002869145.1_ASM286914v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/145/GCA_002869145.1_ASM286914v1/GCA_002869145.1_ASM286914v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/145/GCA_002869145.1_ASM286914v1/GCA_002869145.1_ASM286914v1_protein.faa.gz"
"13870","Halioglobus japonicus",930805,"Gammaproteobacteria","SAMN06075353","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/983/995/GCA_001983995.1_ASM198399v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/983/995/GCA_001983995.1_ASM198399v1/GCA_001983995.1_ASM198399v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/983/995/GCA_001983995.1_ASM198399v1/GCA_001983995.1_ASM198399v1_protein.faa.gz"
"3134","Vibrio azureus",512649,"Gammaproteobacteria","SAMN06105395","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/849/855/GCA_002849855.1_ASM284985v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/849/855/GCA_002849855.1_ASM284985v1/GCA_002849855.1_ASM284985v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/849/855/GCA_002849855.1_ASM284985v1/GCA_002849855.1_ASM284985v1_protein.faa.gz"
"22287","Colwellia echini",1982103,"Gammaproteobacteria","SAMN08114792","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/843/355/GCA_002843355.1_ASM284335v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/843/355/GCA_002843355.1_ASM284335v1/GCA_002843355.1_ASM284335v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/843/355/GCA_002843355.1_ASM284335v1/GCA_002843355.1_ASM284335v1_protein.faa.gz"
"42866","Colwellia sp. 12G3",2058299,"Gammaproteobacteria","SAMN08125734","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/775/GCA_002836775.1_ASM283677v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/775/GCA_002836775.1_ASM283677v1/GCA_002836775.1_ASM283677v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/775/GCA_002836775.1_ASM283677v1/GCA_002836775.1_ASM283677v1_protein.faa.gz"
"41756","Colwellia sp. 75C3",888425,"Gammaproteobacteria","SAMN08125738","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/255/GCA_002836255.1_ASM283625v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/255/GCA_002836255.1_ASM283625v1/GCA_002836255.1_ASM283625v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/255/GCA_002836255.1_ASM283625v1/GCA_002836255.1_ASM283625v1_protein.faa.gz"
"28895","Shewanella oneidensis",70863,"Gammaproteobacteria","SAMN07426572","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/241/225/GCA_003241225.1_ASM324122v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/241/225/GCA_003241225.1_ASM324122v1/GCA_003241225.1_ASM324122v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/241/225/GCA_003241225.1_ASM324122v1/GCA_003241225.1_ASM324122v1_protein.faa.gz"
"2814","Marinobacter lipolyticus SM19",1318628,"Gammaproteobacteria","SAMN02471937","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/397/065/GCA_000397065.2_MarLipol1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/397/065/GCA_000397065.2_MarLipol1.0/GCA_000397065.2_MarLipol1.0_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/397/065/GCA_000397065.2_MarLipol1.0/GCA_000397065.2_MarLipol1.0_protein.faa.gz"
"41817","Shewanella sp. HN-41",327275,"Gammaproteobacteria","SAMN02469863","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/915/GCA_000217915.2_ASM21791v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/915/GCA_000217915.2_ASM21791v1/GCA_000217915.2_ASM21791v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/915/GCA_000217915.2_ASM21791v1/GCA_000217915.2_ASM21791v1_protein.faa.gz"
"28526","Oxalobacter formigenes",847,"Betaproteobacteria","SAMN06036219","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/127/965/GCA_002127965.1_ASM212796v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/127/965/GCA_002127965.1_ASM212796v1/GCA_002127965.1_ASM212796v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/127/965/GCA_002127965.1_ASM212796v1/GCA_002127965.1_ASM212796v1_protein.faa.gz"
"35090","Thauera sp. 63",497321,"Betaproteobacteria","SAMN02470720","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/310/165/GCA_000310165.2_ASM31016v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/310/165/GCA_000310165.2_ASM31016v2/GCA_000310165.2_ASM31016v2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/310/165/GCA_000310165.2_ASM31016v2/GCA_000310165.2_ASM31016v2_protein.faa.gz"
"4013","Marinobacter santoriniensis NKSG1",1288826,"Gammaproteobacteria","SAMN02471869","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/775/GCA_000347775.1_ASM34777v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/775/GCA_000347775.1_ASM34777v1/GCA_000347775.1_ASM34777v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/775/GCA_000347775.1_ASM34777v1/GCA_000347775.1_ASM34777v1_protein.faa.gz"
"3291","Paraglaciecola psychrophila 170",1129794,"Gammaproteobacteria","SAMN02603050","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/635/GCA_000347635.1_ASM34763v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/635/GCA_000347635.1_ASM34763v1/GCA_000347635.1_ASM34763v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/635/GCA_000347635.1_ASM34763v1/GCA_000347635.1_ASM34763v1_protein.faa.gz"
"37281","Pseudomonas mendocina DLHK",1197721,"Gammaproteobacteria","SAMN02471181","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/287/395/GCA_000287395.1_Pmen01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/287/395/GCA_000287395.1_Pmen01/GCA_000287395.1_Pmen01_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/287/395/GCA_000287395.1_Pmen01/GCA_000287395.1_Pmen01_protein.faa.gz"
"42314","Shewanella baltica OS183",693971,"Gammaproteobacteria","SAMN02256524","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/535/GCA_000179535.2_ASM17953v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/535/GCA_000179535.2_ASM17953v2/GCA_000179535.2_ASM17953v2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/535/GCA_000179535.2_ASM17953v2/GCA_000179535.2_ASM17953v2_protein.faa.gz"
"37573","Shewanella baltica OS117",693970,"Gammaproteobacteria","SAMN00713637","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/895/GCA_000215895.1_ASM21589v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/895/GCA_000215895.1_ASM21589v1/GCA_000215895.1_ASM21589v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/895/GCA_000215895.1_ASM21589v1/GCA_000215895.1_ASM21589v1_protein.faa.gz"
"37538","Shewanella baltica BA175",693974,"Gammaproteobacteria","SAMN00016994","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/735/GCA_000147735.3_ASM14773v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/735/GCA_000147735.3_ASM14773v3/GCA_000147735.3_ASM14773v3_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/735/GCA_000147735.3_ASM14773v3/GCA_000147735.3_ASM14773v3_protein.faa.gz"
"29155","Shewanella putrefaciens 200",399804,"Gammaproteobacteria","SAMN00632276","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/215/GCA_000169215.2_ASM16921v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/215/GCA_000169215.2_ASM16921v2/GCA_000169215.2_ASM16921v2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/215/GCA_000169215.2_ASM16921v2/GCA_000169215.2_ASM16921v2_protein.faa.gz"
"982","Oxalobacter formigenes HOxBLS",556268,"Betaproteobacteria","SAMN02463716","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/475/GCA_000158475.2_Oxal_for_HOxBLS_2_V2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/475/GCA_000158475.2_Oxal_for_HOxBLS_2_V2/GCA_000158475.2_Oxal_for_HOxBLS_2_V2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/475/GCA_000158475.2_Oxal_for_HOxBLS_2_V2/GCA_000158475.2_Oxal_for_HOxBLS_2_V2_protein.faa.gz"
"34257","Shewanella baltica OS223",407976,"Gammaproteobacteria","SAMN00623062","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/665/GCA_000021665.1_ASM2166v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/665/GCA_000021665.1_ASM2166v1/GCA_000021665.1_ASM2166v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/665/GCA_000021665.1_ASM2166v1/GCA_000021665.1_ASM2166v1_protein.faa.gz"
"580","Shewanella sediminis HAW-EB3",425104,"Gammaproteobacteria","SAMN02598412","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/025/GCA_000018025.1_ASM1802v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/025/GCA_000018025.1_ASM1802v1/GCA_000018025.1_ASM1802v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/025/GCA_000018025.1_ASM1802v1/GCA_000018025.1_ASM1802v1_protein.faa.gz"
"29192","Shewanella baltica OS185",402882,"Gammaproteobacteria","SAMN02598398","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/325/GCA_000017325.1_ASM1732v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/325/GCA_000017325.1_ASM1732v1/GCA_000017325.1_ASM1732v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/325/GCA_000017325.1_ASM1732v1/GCA_000017325.1_ASM1732v1_protein.faa.gz"
"558","Pseudomonas mendocina ymp",399739,"Gammaproteobacteria","SAMN02598392","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/565/GCA_000016565.1_ASM1656v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/565/GCA_000016565.1_ASM1656v1/GCA_000016565.1_ASM1656v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/565/GCA_000016565.1_ASM1656v1/GCA_000016565.1_ASM1656v1_protein.faa.gz"
