"","organism","subgroup","level","RefSeq.FTP","tbl","prt"
"33040","Desulfuromonas sp.",3.30308,"SAMN07982686","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/868/905/GCA_002868905.1_ASM286890v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/868/905/GCA_002868905.1_ASM286890v1/GCA_002868905.1_ASM286890v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/868/905/GCA_002868905.1_ASM286890v1/GCA_002868905.1_ASM286890v1_protein.faa.gz"
"38190","Azoarcus sp.",4.90425,"SAMN07982677","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/045/GCA_002869045.1_ASM286904v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/045/GCA_002869045.1_ASM286904v1/GCA_002869045.1_ASM286904v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/045/GCA_002869045.1_ASM286904v1/GCA_002869045.1_ASM286904v1_protein.faa.gz"
"22302","Denitrovibrio sp.",2.87809,"SAMN07982671","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/145/GCA_002869145.1_ASM286914v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/145/GCA_002869145.1_ASM286914v1/GCA_002869145.1_ASM286914v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/145/GCA_002869145.1_ASM286914v1/GCA_002869145.1_ASM286914v1_protein.faa.gz"
"26759","Sedimenticola selenatireducens",4.27836,"SAMN07982700","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/868/805/GCA_002868805.1_ASM286880v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/868/805/GCA_002868805.1_ASM286880v1/GCA_002868805.1_ASM286880v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/868/805/GCA_002868805.1_ASM286880v1/GCA_002868805.1_ASM286880v1_protein.faa.gz"
"22299","Desulfobulbaceae bacterium",2.66315,"SAMN07982682","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/868/955/GCA_002868955.1_ASM286895v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/868/955/GCA_002868955.1_ASM286895v1/GCA_002868955.1_ASM286895v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/868/955/GCA_002868955.1_ASM286895v1/GCA_002868955.1_ASM286895v1_protein.faa.gz"
"13870","Halioglobus japonicus",4.11636,"SAMN06075353","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/983/995/GCA_001983995.1_ASM198399v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/983/995/GCA_001983995.1_ASM198399v1/GCA_001983995.1_ASM198399v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/983/995/GCA_001983995.1_ASM198399v1/GCA_001983995.1_ASM198399v1_protein.faa.gz"
"12289","Pseudomonas guariconensis",5.60926,"SAMN08049183","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/864/765/GCA_002864765.1_ASM286476v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/864/765/GCA_002864765.1_ASM286476v1/GCA_002864765.1_ASM286476v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/864/765/GCA_002864765.1_ASM286476v1/GCA_002864765.1_ASM286476v1_protein.faa.gz"
"33350","Serratia sp. ATCC 39006",4.97176,"SAMN02470747","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/345/GCA_000463345.3_ASM46334v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/345/GCA_000463345.3_ASM46334v3/GCA_000463345.3_ASM46334v3_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/345/GCA_000463345.3_ASM46334v3/GCA_000463345.3_ASM46334v3_protein.faa.gz"
"8741","Sterolibacterium denitrificans",0.952224,"SAMN03817231","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/586/935/GCA_001586935.1_ASM158693v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/586/935/GCA_001586935.1_ASM158693v1/GCA_001586935.1_ASM158693v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/586/935/GCA_001586935.1_ASM158693v1/GCA_001586935.1_ASM158693v1_protein.faa.gz"
"3134","Vibrio azureus",4.8339,"SAMN06105395","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/849/855/GCA_002849855.1_ASM284985v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/849/855/GCA_002849855.1_ASM284985v1/GCA_002849855.1_ASM284985v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/849/855/GCA_002849855.1_ASM284985v1/GCA_002849855.1_ASM284985v1_protein.faa.gz"
"34313","Methylorubrum extorquens",5.65431,"SAMN06210717","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/971/665/GCA_001971665.1_ASM197166v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/971/665/GCA_001971665.1_ASM197166v1/GCA_001971665.1_ASM197166v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/971/665/GCA_001971665.1_ASM197166v1/GCA_001971665.1_ASM197166v1_protein.faa.gz"
"22287","Colwellia echini",4.12687,"SAMN08114792","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/843/355/GCA_002843355.1_ASM284335v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/843/355/GCA_002843355.1_ASM284335v1/GCA_002843355.1_ASM284335v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/843/355/GCA_002843355.1_ASM284335v1/GCA_002843355.1_ASM284335v1_protein.faa.gz"
"3832","Aeromonas sobria",4.69125,"SAMN05828312","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/858/225/GCA_001858225.1_ASM185822v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/858/225/GCA_001858225.1_ASM185822v1/GCA_001858225.1_ASM185822v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/858/225/GCA_001858225.1_ASM185822v1/GCA_001858225.1_ASM185822v1_protein.faa.gz"
"22238","Telmatospirillum siberiense",6.20299,"SAMN08117801","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/845/745/GCA_002845745.1_ASM284574v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/845/745/GCA_002845745.1_ASM284574v1/GCA_002845745.1_ASM284574v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/845/745/GCA_002845745.1_ASM284574v1/GCA_002845745.1_ASM284574v1_protein.faa.gz"
"42866","Colwellia sp. 12G3",5.05559,"SAMN08125734","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/775/GCA_002836775.1_ASM283677v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/775/GCA_002836775.1_ASM283677v1/GCA_002836775.1_ASM283677v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/775/GCA_002836775.1_ASM283677v1/GCA_002836775.1_ASM283677v1_protein.faa.gz"
"41756","Colwellia sp. 75C3",5.40722,"SAMN08125738","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/255/GCA_002836255.1_ASM283625v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/255/GCA_002836255.1_ASM283625v1/GCA_002836255.1_ASM283625v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/255/GCA_002836255.1_ASM283625v1/GCA_002836255.1_ASM283625v1_protein.faa.gz"
"22216","Alteromonadales bacterium alter-6D02",3.99202,"SAMN08130374","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/835/545/GCA_002835545.1_ASM283554v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/835/545/GCA_002835545.1_ASM283554v1/GCA_002835545.1_ASM283554v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/835/545/GCA_002835545.1_ASM283554v1/GCA_002835545.1_ASM283554v1_protein.faa.gz"
"8641","Paraglaciecola sp. MB-3u-78",6.47889,"SAMN08125768","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/835/935/GCA_002835935.1_ASM283593v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/835/935/GCA_002835935.1_ASM283593v1/GCA_002835935.1_ASM283593v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/835/935/GCA_002835935.1_ASM283593v1/GCA_002835935.1_ASM283593v1_protein.faa.gz"
"30341","Glaciecola sp. 33A",4.5179,"SAMN08125735","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/745/GCA_002836745.1_ASM283674v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/745/GCA_002836745.1_ASM283674v1/GCA_002836745.1_ASM283674v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/745/GCA_002836745.1_ASM283674v1/GCA_002836745.1_ASM283674v1_protein.faa.gz"
"36825","Psychromonas sp. psych-6C06",3.71989,"SAMN08130274","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/835/465/GCA_002835465.1_ASM283546v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/835/465/GCA_002835465.1_ASM283546v1/GCA_002835465.1_ASM283546v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/835/465/GCA_002835465.1_ASM283546v1/GCA_002835465.1_ASM283546v1_protein.faa.gz"
"40689","Shewanella sp. ALD9",4.94121,"SAMN08125743","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/315/GCA_002836315.1_ASM283631v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/315/GCA_002836315.1_ASM283631v1/GCA_002836315.1_ASM283631v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/315/GCA_002836315.1_ASM283631v1/GCA_002836315.1_ASM283631v1_protein.faa.gz"
"30307","Psychromonas sp. Urea-02u-13",4.74926,"SAMN08125777","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/835/995/GCA_002835995.1_ASM283599v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/835/995/GCA_002835995.1_ASM283599v1/GCA_002835995.1_ASM283599v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/835/995/GCA_002835995.1_ASM283599v1/GCA_002835995.1_ASM283599v1_protein.faa.gz"
"27648","Moritella sp. Urea-trap-13",4.89439,"SAMN08125779","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/355/GCA_002836355.1_ASM283635v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/355/GCA_002836355.1_ASM283635v1/GCA_002836355.1_ASM283635v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/355/GCA_002836355.1_ASM283635v1/GCA_002836355.1_ASM283635v1_protein.faa.gz"
"35029","Methylomonas sp. Kb3",5.12114,"SAMN08111978","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/834/115/GCA_002834115.1_ASM283411v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/834/115/GCA_002834115.1_ASM283411v1/GCA_002834115.1_ASM283411v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/834/115/GCA_002834115.1_ASM283411v1/GCA_002834115.1_ASM283411v1_protein.faa.gz"
"22221","Macromonas sp. BK-30",3.06498,"SAMN07660549","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/837/145/GCA_002837145.1_ASM283714v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/837/145/GCA_002837145.1_ASM283714v1/GCA_002837145.1_ASM283714v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/837/145/GCA_002837145.1_ASM283714v1/GCA_002837145.1_ASM283714v1_protein.faa.gz"
"33304","Psychromonas sp. MB-3u-54",4.3714,"SAMN08125766","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/415/GCA_002836415.1_ASM283641v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/415/GCA_002836415.1_ASM283641v1/GCA_002836415.1_ASM283641v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/415/GCA_002836415.1_ASM283641v1/GCA_002836415.1_ASM283641v1_protein.faa.gz"
"22172","Betaproteobacteria bacterium HGW-Betaproteobacteria-1",2.50415,"SAMN06767601","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/435/GCA_002842435.1_ASM284243v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/435/GCA_002842435.1_ASM284243v1/GCA_002842435.1_ASM284243v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/435/GCA_002842435.1_ASM284243v1/GCA_002842435.1_ASM284243v1_protein.faa.gz"
"22170","Betaproteobacteria bacterium HGW-Betaproteobacteria-12",4.52411,"SAMN06767604","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/345/GCA_002842345.1_ASM284234v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/345/GCA_002842345.1_ASM284234v1/GCA_002842345.1_ASM284234v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/345/GCA_002842345.1_ASM284234v1/GCA_002842345.1_ASM284234v1_protein.faa.gz"
"22167","Betaproteobacteria bacterium HGW-Betaproteobacteria-13",4.22346,"SAMN06767605","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/325/GCA_002842325.1_ASM284232v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/325/GCA_002842325.1_ASM284232v1/GCA_002842325.1_ASM284232v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/325/GCA_002842325.1_ASM284232v1/GCA_002842325.1_ASM284232v1_protein.faa.gz"
"22169","Betaproteobacteria bacterium HGW-Betaproteobacteria-17",2.32018,"SAMN06767609","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/315/GCA_002842315.1_ASM284231v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/315/GCA_002842315.1_ASM284231v1/GCA_002842315.1_ASM284231v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/315/GCA_002842315.1_ASM284231v1/GCA_002842315.1_ASM284231v1_protein.faa.gz"
"22092","Betaproteobacteria bacterium HGW-Betaproteobacteria-14",3.22931,"SAMN06767606","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/845/GCA_002840845.1_ASM284084v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/845/GCA_002840845.1_ASM284084v1/GCA_002840845.1_ASM284084v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/845/GCA_002840845.1_ASM284084v1/GCA_002840845.1_ASM284084v1_protein.faa.gz"
"22166","Betaproteobacteria bacterium HGW-Betaproteobacteria-18",3.57785,"SAMN06767610","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/265/GCA_002842265.1_ASM284226v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/265/GCA_002842265.1_ASM284226v1/GCA_002842265.1_ASM284226v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/265/GCA_002842265.1_ASM284226v1/GCA_002842265.1_ASM284226v1_protein.faa.gz"
"22094","Betaproteobacteria bacterium HGW-Betaproteobacteria-19",2.26851,"SAMN06767611","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/825/GCA_002840825.1_ASM284082v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/825/GCA_002840825.1_ASM284082v1/GCA_002840825.1_ASM284082v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/825/GCA_002840825.1_ASM284082v1/GCA_002840825.1_ASM284082v1_protein.faa.gz"
"22164","Betaproteobacteria bacterium HGW-Betaproteobacteria-2",1.73871,"SAMN06767612","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/255/GCA_002842255.1_ASM284225v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/255/GCA_002842255.1_ASM284225v1/GCA_002842255.1_ASM284225v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/255/GCA_002842255.1_ASM284225v1/GCA_002842255.1_ASM284225v1_protein.faa.gz"
"22163","Betaproteobacteria bacterium HGW-Betaproteobacteria-20",1.86454,"SAMN06767613","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/195/GCA_002842195.1_ASM284219v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/195/GCA_002842195.1_ASM284219v1/GCA_002842195.1_ASM284219v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/195/GCA_002842195.1_ASM284219v1/GCA_002842195.1_ASM284219v1_protein.faa.gz"
"22165","Betaproteobacteria bacterium HGW-Betaproteobacteria-22",2.5317,"SAMN06767615","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/285/GCA_002842285.1_ASM284228v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/285/GCA_002842285.1_ASM284228v1/GCA_002842285.1_ASM284228v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/285/GCA_002842285.1_ASM284228v1/GCA_002842285.1_ASM284228v1_protein.faa.gz"
"22161","Betaproteobacteria bacterium HGW-Betaproteobacteria-6",4.31532,"SAMN06767619","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/145/GCA_002842145.1_ASM284214v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/145/GCA_002842145.1_ASM284214v1/GCA_002842145.1_ASM284214v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/145/GCA_002842145.1_ASM284214v1/GCA_002842145.1_ASM284214v1_protein.faa.gz"
"22089","Betaproteobacteria bacterium HGW-Betaproteobacteria-7",4.39832,"SAMN06767620","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/765/GCA_002840765.1_ASM284076v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/765/GCA_002840765.1_ASM284076v1/GCA_002840765.1_ASM284076v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/765/GCA_002840765.1_ASM284076v1/GCA_002840765.1_ASM284076v1_protein.faa.gz"
"22159","Betaproteobacteria bacterium HGW-Betaproteobacteria-8",1.96529,"SAMN06767621","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/135/GCA_002842135.1_ASM284213v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/135/GCA_002842135.1_ASM284213v1/GCA_002842135.1_ASM284213v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/842/135/GCA_002842135.1_ASM284213v1/GCA_002842135.1_ASM284213v1_protein.faa.gz"
"22079","Deltaproteobacteria bacterium HGW-Deltaproteobacteria-13",3.51199,"SAMN06767641","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/555/GCA_002840555.1_ASM284055v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/555/GCA_002840555.1_ASM284055v1/GCA_002840555.1_ASM284055v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/555/GCA_002840555.1_ASM284055v1/GCA_002840555.1_ASM284055v1_protein.faa.gz"
"22075","Deltaproteobacteria bacterium HGW-Deltaproteobacteria-2",3.28292,"SAMN06767648","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/505/GCA_002840505.1_ASM284050v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/505/GCA_002840505.1_ASM284050v1/GCA_002840505.1_ASM284050v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/505/GCA_002840505.1_ASM284050v1/GCA_002840505.1_ASM284050v1_protein.faa.gz"
"22143","Deltaproteobacteria bacterium HGW-Deltaproteobacteria-24",1.3233,"SAMN06767653","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/841/805/GCA_002841805.1_ASM284180v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/841/805/GCA_002841805.1_ASM284180v1/GCA_002841805.1_ASM284180v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/841/805/GCA_002841805.1_ASM284180v1/GCA_002841805.1_ASM284180v1_protein.faa.gz"
"22076","Deltaproteobacteria bacterium HGW-Deltaproteobacteria-7",1.31925,"SAMN06767658","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/445/GCA_002840445.1_ASM284044v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/445/GCA_002840445.1_ASM284044v1/GCA_002840445.1_ASM284044v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/445/GCA_002840445.1_ASM284044v1/GCA_002840445.1_ASM284044v1_protein.faa.gz"
"22053","Gammaproteobacteria bacterium HGW-Gammaproteobacteria-12",4.87591,"SAMN06767713","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/035/GCA_002840035.1_ASM284003v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/035/GCA_002840035.1_ASM284003v1/GCA_002840035.1_ASM284003v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/035/GCA_002840035.1_ASM284003v1/GCA_002840035.1_ASM284003v1_protein.faa.gz"
"22054","Gammaproteobacteria bacterium HGW-Gammaproteobacteria-11",3.23942,"SAMN06767712","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/055/GCA_002840055.1_ASM284005v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/055/GCA_002840055.1_ASM284005v1/GCA_002840055.1_ASM284005v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/055/GCA_002840055.1_ASM284005v1/GCA_002840055.1_ASM284005v1_protein.faa.gz"
"22059","Gammaproteobacteria bacterium HGW-Gammaproteobacteria-13",4.54561,"SAMN06767714","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/155/GCA_002840155.1_ASM284015v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/155/GCA_002840155.1_ASM284015v1/GCA_002840155.1_ASM284015v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/155/GCA_002840155.1_ASM284015v1/GCA_002840155.1_ASM284015v1_protein.faa.gz"
"22047","Gammaproteobacteria bacterium HGW-Gammaproteobacteria-9",4.24866,"SAMN06767724","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/839/885/GCA_002839885.1_ASM283988v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/839/885/GCA_002839885.1_ASM283988v1/GCA_002839885.1_ASM283988v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/839/885/GCA_002839885.1_ASM283988v1/GCA_002839885.1_ASM283988v1_protein.faa.gz"
"27918","Pseudoalteromonas arctica",4.48878,"SAMN08125770","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/095/GCA_002836095.1_ASM283609v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/095/GCA_002836095.1_ASM283609v1/GCA_002836095.1_ASM283609v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/095/GCA_002836095.1_ASM283609v1/GCA_002836095.1_ASM283609v1_protein.faa.gz"
"25302","Enterovibrio nigricans",5.00797,"SAMN04311938","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/835/505/GCA_002835505.1_ASM283550v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/835/505/GCA_002835505.1_ASM283550v1/GCA_002835505.1_ASM283550v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/835/505/GCA_002835505.1_ASM283550v1/GCA_002835505.1_ASM283550v1_protein.faa.gz"
"22483","Pseudomonas hunanensis",6.64442,"SAMN08123256","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/910/975/GCA_002910975.1_ASM291097v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/910/975/GCA_002910975.1_ASM291097v1/GCA_002910975.1_ASM291097v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/910/975/GCA_002910975.1_ASM291097v1/GCA_002910975.1_ASM291097v1_protein.faa.gz"
"21979","Aeromonas lusitana",4.5378,"SAMN07981238","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/812/985/GCA_002812985.1_MDC2473","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/812/985/GCA_002812985.1_MDC2473/GCA_002812985.1_MDC2473_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/812/985/GCA_002812985.1_MDC2473/GCA_002812985.1_MDC2473_protein.faa.gz"
"21952","Vibrio salilacus",3.62,"SAMN07212053","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/811/245/GCA_002811245.1_ASM281124v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/811/245/GCA_002811245.1_ASM281124v1/GCA_002811245.1_ASM281124v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/811/245/GCA_002811245.1_ASM281124v1/GCA_002811245.1_ASM281124v1_protein.faa.gz"
